Date,Price,Open,High,Low,Vol.,Change %
1990-04-04,1.62,1.6,1.65,1.599,80.0,-0.92
1990-04-05,1.615,1.615,1.635,1.61,60.0,-0.31
1990-04-06,1.625,1.615,1.635,1.61,60.0,0.62
1990-04-09,1.637,1.612,1.64,1.612,40.0,0.74
1990-04-10,1.62,1.627,1.63,1.613,30.0,-1.04
1990-04-11,1.605,1.61,1.61,1.595,30.0,-0.93
1990-04-12,1.598,1.595,1.6,1.59,40.0,-0.44
1990-04-16,1.598,1.597,1.6,1.592,20.0,0.0
1990-04-17,1.585,1.594,1.6,1.585,30.0,-0.81
1990-04-18,1.583,1.583,1.587,1.583,10.0,-0.13
1990-04-19,1.57,1.581,1.581,1.55,60.0,-0.82
1990-04-20,1.543,1.56,1.56,1.54,120.0,-1.72
1990-04-23,1.555,1.525,1.56,1.525,30.0,0.78
1990-04-24,1.555,1.54,1.556,1.54,50.0,0.0
1990-04-25,1.552,1.56,1.57,1.552,20.0,-0.19
1990-04-26,1.558,1.555,1.564,1.555,30.0,0.39
1990-04-27,1.555,1.56,1.56,1.55,20.0,-0.19
1990-04-30,1.565,1.565,1.57,1.565,10.0,0.64
1990-05-01,1.565,1.575,1.575,1.565,20.0,0.0
1990-05-02,1.575,1.575,1.58,1.575,20.0,0.64
1990-05-03,1.575,1.575,1.575,1.575,20.0,0.0
1990-05-04,1.575,1.57,1.575,1.57,10.0,0.0
1990-05-07,1.58,1.58,1.585,1.575,30.0,0.32
1990-05-08,1.583,1.585,1.589,1.582,50.0,0.19
1990-05-09,1.576,1.587,1.587,1.576,30.0,-0.44
1990-05-10,1.574,1.58,1.58,1.574,20.0,-0.13
1990-05-11,1.565,1.571,1.575,1.565,50.0,-0.57
1990-05-14,1.556,1.559,1.559,1.555,10.0,-0.58
1990-05-15,1.552,1.555,1.555,1.552,10.0,-0.26
1990-05-16,1.57,1.559,1.575,1.559,50.0,1.16
1990-05-17,1.57,1.57,1.575,1.57,50.0,0.0
1990-05-18,1.554,1.565,1.565,1.54,50.0,-1.02
1990-05-21,1.557,1.548,1.56,1.545,90.0,0.19
1990-05-22,1.613,1.61,1.62,1.605,90.0,3.6
1990-05-23,1.602,1.603,1.606,1.597,140.0,-0.68
1990-05-24,1.6,1.602,1.602,1.595,40.0,-0.12
1990-05-25,1.592,1.595,1.6,1.59,60.0,-0.5
1990-05-29,1.585,1.585,1.588,1.585,70.0,-0.44
1990-05-30,1.585,1.585,1.595,1.585,90.0,0.0
1990-05-31,1.59,1.586,1.604,1.585,110.0,0.32
1990-06-01,1.585,1.587,1.59,1.585,50.0,-0.31
1990-06-04,1.582,1.585,1.585,1.57,300.0,-0.19
1990-06-05,1.567,1.57,1.575,1.567,130.0,-0.95
1990-06-06,1.56,1.562,1.564,1.556,110.0,-0.45
1990-06-07,1.573,1.565,1.585,1.565,150.0,0.83
1990-06-08,1.575,1.565,1.58,1.564,100.0,0.13
1990-06-11,1.572,1.573,1.575,1.565,110.0,-0.19
1990-06-12,1.558,1.57,1.574,1.553,250.0,-0.89
1990-06-13,1.545,1.55,1.55,1.543,210.0,-0.83
1990-06-14,1.547,1.54,1.55,1.54,130.0,0.13
1990-06-15,1.547,1.54,1.55,1.54,50.0,0.0
1990-06-18,1.54,1.535,1.544,1.535,30.0,-0.45
1990-06-19,1.536,1.53,1.538,1.53,100.0,-0.26
1990-06-20,1.51,1.527,1.533,1.505,230.0,-1.69
1990-06-21,1.528,1.558,1.56,1.528,,1.19
1990-06-22,1.522,1.515,1.524,1.512,160.0,-0.39
1990-06-25,1.516,1.51,1.52,1.506,40.0,-0.39
1990-06-26,1.507,1.51,1.515,1.505,150.0,-0.59
1990-06-27,1.5,1.505,1.505,1.495,110.0,-0.46
1990-06-28,1.515,1.496,1.52,1.496,140.0,1.0
1990-06-29,1.519,1.51,1.519,1.51,80.0,0.26
1990-07-02,1.519,1.525,1.525,1.516,60.0,0.0
1990-07-03,1.525,1.517,1.525,1.517,90.0,0.39
1990-07-05,1.514,1.518,1.518,1.511,80.0,-0.72
1990-07-06,1.498,1.511,1.511,1.495,110.0,-1.06
1990-07-09,1.493,1.493,1.495,1.488,180.0,-0.33
1990-07-10,1.5,1.493,1.5,1.492,30.0,0.47
1990-07-11,1.5,1.508,1.508,1.495,40.0,0.0
1990-07-12,1.502,1.5,1.502,1.495,70.0,0.13
1990-07-13,1.5,1.52,1.52,1.5,160.0,-0.13
1990-07-16,1.495,1.51,1.515,1.49,80.0,-0.33
1990-07-17,1.462,1.482,1.485,1.455,140.0,-2.21
1990-07-18,1.45,1.455,1.455,1.445,90.0,-0.82
1990-07-19,1.445,1.445,1.454,1.44,100.0,-0.34
1990-07-20,1.426,1.43,1.43,1.424,70.0,-1.31
1990-07-23,1.46,1.465,1.47,1.455,110.0,2.38
1990-07-24,1.44,1.456,1.458,1.44,100.0,-1.37
1990-07-25,1.44,1.427,1.445,1.422,170.0,0.0
1990-07-26,1.435,1.44,1.44,1.417,90.0,-0.35
1990-07-27,1.439,1.427,1.439,1.427,60.0,0.28
1990-07-30,1.43,1.436,1.436,1.425,60.0,-0.63
1990-07-31,1.411,1.425,1.425,1.41,80.0,-1.33
1990-08-01,1.402,1.405,1.405,1.396,30.0,-0.64
1990-08-02,1.432,1.45,1.46,1.43,270.0,2.14
1990-08-03,1.51,1.445,1.54,1.445,350.0,5.45
1990-08-06,1.588,1.53,1.6,1.52,240.0,5.17
1990-08-07,1.477,1.52,1.525,1.46,110.0,-6.99
1990-08-08,1.475,1.48,1.51,1.45,50.0,-0.14
1990-08-09,1.47,1.457,1.49,1.455,80.0,-0.34
1990-08-10,1.49,1.46,1.5,1.45,80.0,1.36
1990-08-13,1.465,1.49,1.49,1.465,,-1.68
1990-08-14,1.448,1.46,1.46,1.446,190.0,-1.16
1990-08-15,1.428,1.435,1.435,1.425,250.0,-1.38
1990-08-16,1.43,1.43,1.45,1.426,110.0,0.14
1990-08-17,1.44,1.455,1.455,1.427,60.0,0.7
1990-08-20,1.417,1.43,1.431,1.415,100.0,-1.6
1990-08-21,1.42,1.425,1.425,1.415,110.0,0.21
1990-08-22,1.428,1.425,1.429,1.413,120.0,0.56
1990-08-23,1.545,1.56,1.6,1.53,330.0,8.19
1990-08-24,1.525,1.515,1.545,1.515,100.0,-1.29
1990-08-27,1.502,1.47,1.505,1.47,50.0,-1.51
1990-08-28,1.5,1.5,1.505,1.498,200.0,-0.13
1990-08-29,1.505,1.495,1.505,1.486,190.0,0.33
1990-08-30,1.537,1.51,1.539,1.51,110.0,2.13
1990-08-31,1.5,1.54,1.548,1.5,70.0,-2.41
1990-09-04,1.51,1.515,1.52,1.505,70.0,0.67
1990-09-05,1.514,1.52,1.53,1.505,110.0,0.26
1990-09-06,1.53,1.52,1.535,1.52,30.0,1.06
1990-09-07,1.51,1.502,1.51,1.501,50.0,-1.31
1990-09-10,1.525,1.501,1.53,1.501,130.0,0.99
1990-09-11,1.525,1.53,1.537,1.52,180.0,0.0
1990-09-12,1.543,1.54,1.543,1.535,80.0,1.18
1990-09-13,1.54,1.546,1.55,1.54,100.0,-0.19
1990-09-14,1.52,1.545,1.55,1.503,170.0,-1.3
1990-09-17,1.537,1.515,1.54,1.515,220.0,1.12
1990-09-18,1.56,1.535,1.56,1.53,240.0,1.5
1990-09-19,1.555,1.545,1.56,1.545,200.0,-0.32
1990-09-20,1.846,1.83,1.848,1.83,70.0,18.71
1990-09-21,1.872,1.86,1.875,1.86,280.0,1.41
1990-09-24,1.936,1.9,1.95,1.9,310.0,3.42
1990-09-25,1.93,1.93,1.94,1.91,210.0,-0.31
1990-09-26,1.945,1.888,1.945,1.876,100.0,0.78
1990-09-27,1.94,1.905,1.98,1.9,170.0,-0.26
1990-09-28,1.935,1.95,1.96,1.935,160.0,-0.26
1990-10-01,1.909,1.925,1.93,1.89,40.0,-1.34
1990-10-02,1.88,1.885,1.93,1.875,150.0,-1.52
1990-10-03,1.915,1.915,1.94,1.915,110.0,1.86
1990-10-04,1.898,1.91,1.92,1.891,180.0,-0.89
1990-10-05,1.935,1.905,1.935,1.905,90.0,1.95
1990-10-08,1.93,1.925,1.935,1.92,130.0,-0.26
1990-10-09,1.94,1.96,1.99,1.94,170.0,0.52
1990-10-10,1.94,1.96,1.97,1.93,170.0,0.0
1990-10-11,1.96,1.95,1.975,1.94,120.0,1.03
1990-10-12,1.95,1.98,1.98,1.93,50.0,-0.51
1990-10-15,1.9,1.9,1.9,1.88,170.0,-2.56
1990-10-16,1.91,1.89,1.91,1.875,180.0,0.53
1990-10-17,1.9,1.92,1.92,1.88,80.0,-0.52
1990-10-18,1.89,1.855,1.88,1.83,60.0,-0.53
1990-10-19,1.9,1.842,1.92,1.84,160.0,0.53
1990-10-22,1.97,1.93,1.98,1.92,330.0,3.68
1990-10-23,2.52,2.39,2.52,2.37,300.0,27.92
1990-10-24,2.44,2.56,2.57,2.44,240.0,-3.17
1990-10-25,2.446,2.47,2.5,2.41,240.0,0.25
1990-10-26,2.448,2.48,2.48,2.4,130.0,0.08
1990-10-29,2.434,2.45,2.46,2.43,60.0,-0.57
1990-10-30,2.408,2.42,2.455,2.39,150.0,-1.07
1990-10-31,2.36,2.385,2.385,2.36,240.0,-1.99
1990-11-01,2.35,2.36,2.37,2.35,70.0,-0.42
1990-11-02,2.358,2.335,2.358,2.33,140.0,0.34
1990-11-05,2.385,2.33,2.395,2.33,440.0,1.15
1990-11-06,2.383,2.395,2.41,2.38,140.0,-0.08
1990-11-07,2.45,2.375,2.45,2.375,220.0,2.81
1990-11-08,2.435,2.45,2.45,2.4,220.0,-0.61
1990-11-09,2.429,2.41,2.43,2.41,110.0,-0.25
1990-11-12,2.41,2.405,2.42,2.39,240.0,-0.78
1990-11-13,2.411,2.407,2.42,2.4,390.0,0.04
1990-11-14,2.428,2.415,2.43,2.41,250.0,0.71
1990-11-15,2.4,2.4,2.4,2.39,180.0,-1.15
1990-11-16,2.335,2.38,2.38,2.31,430.0,-2.71
1990-11-19,2.35,2.3,2.35,2.29,290.0,0.64
1990-11-20,2.38,2.34,2.395,2.335,630.0,1.28
1990-11-21,2.38,2.38,2.38,2.38,130.0,0.0
1990-11-23,2.605,2.61,2.64,2.605,90.0,9.45
1990-11-26,2.618,2.64,2.65,2.615,370.0,0.5
1990-11-27,2.54,2.605,2.605,2.54,520.0,-2.98
1990-11-28,2.505,2.52,2.53,2.48,410.0,-1.38
1990-11-29,2.49,2.53,2.54,2.485,350.0,-0.6
1990-11-30,2.445,2.49,2.495,2.395,470.0,-1.81
1990-12-03,2.475,2.46,2.48,2.435,310.0,1.23
1990-12-04,2.44,2.495,2.51,2.44,180.0,-1.41
1990-12-05,2.402,2.425,2.44,2.38,210.0,-1.56
1990-12-06,2.351,2.34,2.365,2.325,510.0,-2.12
1990-12-07,2.35,2.36,2.36,2.32,620.0,-0.04
1990-12-10,2.355,2.385,2.385,2.34,160.0,0.21
1990-12-11,2.285,2.34,2.34,2.27,630.0,-2.97
1990-12-12,2.204,2.277,2.285,2.195,530.0,-3.54
1990-12-13,2.22,2.2,2.22,2.173,350.0,0.73
1990-12-14,2.262,2.25,2.265,2.22,340.0,1.89
1990-12-17,2.175,2.27,2.275,2.145,600.0,-3.85
1990-12-18,2.046,2.13,2.145,1.99,450.0,-5.93
1990-12-19,2.046,2.046,2.046,2.046,,0.0
