Date,Price,Open,Vol.,Change %,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
1990-05-07,1.58,1.58,30.0,0.32,0.0031695747612790395,1.004620416733708e-05,1.0123215125748068e-05,4.216817664282302e-05
1990-05-08,1.583,1.585,50.0,0.19,0.0018969338599996708,3.5983580692132507e-06,1.0842886739590717e-05,4.189739875947811e-05
1990-05-09,1.576,1.587,30.0,-0.44,-0.004431789463187644,1.9640757846021023e-05,6.657064016514281e-06,4.105815186357574e-05
1990-05-10,1.574,1.58,20.0,-0.13,-0.00126984144047593,1.6124972839499852e-06,6.979563473304278e-06,3.867087672572449e-05
1990-05-11,1.565,1.571,50.0,-0.57,-0.005734326003095008,3.2882494709771576e-05,1.3556062415258593e-05,3.521208853683247e-05
1990-05-14,1.556,1.559,10.0,-0.58,-0.005767398235916599,3.326288241165389e-05,1.8199398064121958e-05,3.279065095355013e-05
1990-05-15,1.552,1.555,10.0,-0.26,-0.0025740039951728773,6.625496567165934e-06,1.8804825763712493e-05,3.222340772633374e-05
1990-05-16,1.57,1.559,50.0,1.16,0.01153119759918964,0.00013296851807155692,4.147037780881967e-05,3.826743127504087e-05
1990-05-17,1.57,1.57,50.0,0.0,0.0,0.0,4.114787835202967e-05,3.5234548898857954e-05
1990-05-18,1.554,1.565,50.0,-1.02,-0.01024336741476099,0.00010492657599378723,5.555669460883281e-05,3.993147392118165e-05
1990-05-21,1.557,1.548,90.0,0.19,0.0019286409064054647,3.7196557458604923e-06,4.964804927567412e-05,3.700967735864588e-05
1990-05-22,1.613,1.61,90.0,3.6,0.03533490629121056,0.0012485556026086318,0.00029803407048396727,8.008402274066385e-05
1990-05-23,1.602,1.603,140.0,-0.68,-0.006842950496904218,4.682597150308168e-05,0.0002808055611702722,7.948449512512395e-05
1990-05-24,1.6,1.602,40.0,-0.12,-0.0012492194004319278,1.5605491104155052e-06,0.00028111767099235537,7.955542917559738e-05
1990-05-25,1.592,1.595,60.0,-0.5,-0.005012541823544286,2.512557553278068e-05,0.000265157470900154,8.052798990881732e-05
1990-05-29,1.585,1.585,70.0,-0.44,-0.004406680092947368,1.9418829441578625e-05,0.00026829730563929764,8.073392667973795e-05
1990-05-30,1.585,1.585,90.0,0.0,0.0,0.0,1.8586185117571298e-05,8.056506859948525e-05
1990-05-31,1.59,1.586,110.0,0.32,0.0031496089028962013,9.920036241203013e-06,1.1204998065195565e-05,7.914817621660963e-05
1990-06-01,1.585,1.587,50.0,-0.31,-0.0031496089028963314,9.920036241203833e-06,1.287689549135323e-05,7.959908695484616e-05
1990-06-04,1.582,1.585,300.0,-0.19,-0.001894537983781705,3.589274171991648e-06,8.569635219195424e-06,7.791815071441838e-05
1990-06-05,1.567,1.57,130.0,-0.95,-0.00952690597157845,9.076193739129713e-05,2.2838256809139127e-05,8.20436933231137e-05
1990-06-06,1.56,1.562,110.0,-0.45,-0.004477142112438048,2.004480149496623e-05,2.684721710813237e-05,8.295482066379398e-05
1990-06-07,1.573,1.565,150.0,0.83,0.008298802814695064,6.887012815719072e-05,3.863723549132992e-05,8.562863539060551e-05
1990-06-08,1.575,1.565,100.0,0.13,0.0012706482014557111,1.6145468518626336e-06,3.6976137613461675e-05,8.553846215345321e-05
1990-06-11,1.572,1.573,110.0,-0.19,-0.0019065782705815315,3.6350407018536636e-06,3.698529091943408e-05,8.481092955599106e-05
1990-06-12,1.558,1.57,250.0,-0.89,-0.008945746558458277,8.00263814881681e-05,3.483817973880827e-05,8.837519701981915e-05
1990-06-13,1.545,1.55,210.0,-0.83,-0.00837903709884785,7.02082627038686e-05,4.4870871980588744e-05,9.007182283773265e-05
1990-06-14,1.547,1.54,130.0,0.13,0.0012936612412202692,1.6735594070355675e-06,3.143155823055772e-05,8.863594451934091e-05
1990-06-15,1.547,1.54,50.0,0.0,0.0,0.0,3.110864886018519e-05,8.833478558446973e-05
1990-06-18,1.54,1.535,30.0,-0.45,-0.004535155165391262,2.0567632374175046e-05,3.449516719464947e-05,8.322565441640693e-05
1990-06-19,1.536,1.53,100.0,-0.26,-0.0026007817000573675,6.76406545135329e-06,1.98427039872865e-05,8.353311193692299e-05
1990-06-20,1.51,1.527,230.0,-1.69,-0.017071983898647503,0.0002914526342356796,6.409157829364869e-05,9.201156912973627e-05
1990-06-21,1.528,1.558,,1.19,0.011850039917495805,0.00014042344604624397,9.184155562149038e-05,9.82253777797537e-05
1990-06-22,1.522,1.515,160.0,-0.39,-0.0039344313048346735,1.5479749692463073e-05,9.493750555998299e-05,4.2176475374473297e-05
