"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"12/31/2024,""3.633"",""3.915"",""4.012"",""3.577"",""184.55K"",""-7.70%"""
"12/30/2024,""3.936"",""3.657"",""4.201"",""3.648"",""374.32K"",""12.01%"""
"12/27/2024,""3.514"",""3.707"",""3.887"",""3.370"",""2.52K"",""-5.41%"""
"12/26/2024,""3.715"",""3.970"",""4.010"",""3.652"",""67.21K"",""-5.85%"""
"12/24/2024,""3.946"",""3.695"",""3.958"",""3.666"",""66.85K"",""7.93%"""
"12/23/2024,""3.656"",""3.869"",""3.944"",""3.581"",""125.62K"",""7.15%"""
"12/20/2024,""3.412"",""3.327"",""3.457"",""3.264"",""165.73K"",""3.52%"""
"12/19/2024,""3.296"",""3.135"",""3.338"",""3.126"",""132.38K"",""5.81%"""
"12/18/2024,""3.115"",""3.123"",""3.175"",""3.084"",""111.29K"",""1.14%"""
"12/17/2024,""3.080"",""3.030"",""3.147"",""2.919"",""122.87K"",""13.99%"""
"12/16/2024,""2.702"",""2.710"",""2.727"",""2.672"",""89.64K"",""-17.62%"""
"12/13/2024,""3.280"",""3.458"",""3.489"",""3.264"",""213.64K"",""-5.07%"""
"12/12/2024,""3.455"",""3.364"",""3.559"",""3.282"",""328.09K"",""2.28%"""
"12/11/2024,""3.378"",""3.193"",""3.404"",""3.181"",""276.53K"",""6.80%"""
"12/10/2024,""3.163"",""3.189"",""3.193"",""3.069"",""233.88K"",""-0.60%"""
"12/09/2024,""3.182"",""3.260"",""3.324"",""3.137"",""258.43K"",""3.45%"""
"12/06/2024,""3.076"",""3.087"",""3.108"",""3.004"",""188.69K"",""-0.10%"""
"12/05/2024,""3.079"",""3.071"",""3.155"",""3.035"",""183.89K"",""1.18%"""
"12/04/2024,""3.043"",""3.048"",""3.088"",""2.977"",""171.70K"",""0.03%"""
"12/03/2024,""3.042"",""3.207"",""3.217"",""3.030"",""184.35K"",""-5.32%"""
