;Date;Actual;HAR;HAR_X;RF
0;2017-11-03;0.000909;0.000339;0.000256;0.000087
1;2017-11-10;0.000000;0.000268;0.000155;0.000332
2;2017-11-17;0.000026;0.000371;0.000255;0.000165
3;2017-11-24;0.000164;0.000270;0.000117;0.000233
4;2017-12-01;0.000236;0.000299;0.000179;0.000179
5;2017-12-08;0.000112;0.000290;0.000145;0.000172
6;2017-12-15;0.000004;0.000249;0.000055;0.000367
7;2017-12-22;0.000001;0.000218;-0.000001;0.000305
8;2017-12-29;0.000011;0.000245;0.000047;0.000230
9;2018-01-05;0.000025;0.000216;0.000071;0.000299
10;2018-01-12;0.000001;0.000213;0.000068;0.000149
11;2018-01-18;0.000083;0.000196;0.000024;0.000277
12;2018-01-25;0.000083;0.000193;0.000032;0.000248
13;2018-02-01;0.000054;0.000240;0.000066;0.000139
14;2018-02-08;0.001058;0.000238;0.000127;0.000144
15;2018-02-15;0.000038;0.000277;0.000123;0.000189
16;2018-02-21;0.000303;0.000234;0.000132;0.000323
17;2018-02-28;0.000120;0.000363;0.000287;0.000129
18;2018-03-07;0.000251;0.000371;0.000339;0.000122
19;2018-03-14;0.000014;0.000259;0.000285;0.000417
20;2018-03-21;0.000142;0.000365;0.000383;0.000203
21;2018-03-28;0.000065;0.000301;0.000232;0.000233
22;2018-04-05;0.000525;0.000261;0.000080;0.000218
23;2018-04-12;0.000032;0.000286;0.000054;0.000205
24;2018-04-19;0.000001;0.000290;0.000046;0.000272
25;2018-04-26;0.000002;0.000247;0.000023;0.000186
26;2018-05-03;0.000367;0.000246;0.000015;0.000154
27;2018-05-10;0.000079;0.000247;-0.000001;0.000198
28;2018-05-17;0.000008;0.000214;-0.000054;0.000188
29;2018-05-24;0.001639;0.000257;-0.000043;0.000125
30;2018-05-30;0.000301;0.000361;0.000022;0.000342
31;2018-06-06;0.000332;0.000276;0.000043;0.000336
32;2018-06-13;0.000007;0.000229;0.000025;0.000149
33;2018-06-20;0.000170;0.000290;0.000135;0.000277
34;2018-06-27;0.000059;0.000491;0.000324;0.000441
35;2018-07-04;0.002339;0.000543;0.000421;0.000230
36;2018-07-11;0.000050;0.000894;0.000784;0.000770
37;2018-07-18;0.000052;0.000475;0.000328;0.000389
38;2018-07-25;0.000038;0.000442;0.000276;0.000500
39;2018-08-01;0.000299;0.000443;0.000308;0.000824
40;2018-08-08;0.000003;0.000488;0.000315;0.000437
41;2018-08-15;0.000042;0.000357;0.000162;0.000308
42;2018-08-22;0.000000;0.000331;0.000123;0.000336
43;2018-08-29;0.000085;0.000249;0.000028;0.000328
