;Date;Actual;HAR;HAR_X;RF
0;2017-11-03;0.001820;0.000587;0.000553;0.000501
1;2017-11-10;0.000180;0.000572;0.000538;0.000400
2;2017-11-17;0.000260;0.000528;0.000478;0.000373
3;2017-11-24;0.001159;0.000666;0.000631;0.000345
4;2017-12-01;0.000615;0.000762;0.000729;0.000658
5;2017-12-08;0.000381;0.000714;0.000681;0.000640
6;2017-12-15;0.001983;0.000753;0.000708;0.000813
7;2017-12-22;0.000774;0.000758;0.000717;0.000941
8;2017-12-29;0.003458;0.000845;0.000780;0.001447
9;2018-01-05;0.000096;0.000950;0.000893;0.000629
10;2018-01-12;0.001622;0.000716;0.000668;0.000841
11;2018-01-18;0.000251;0.000869;0.000826;0.001013
12;2018-01-25;0.000587;0.000687;0.000640;0.001298
13;2018-02-01;0.000000;0.000900;0.000858;0.001193
14;2018-02-08;0.001110;0.000617;0.000555;0.001461
15;2018-02-15;0.000071;0.000608;0.000540;0.000467
16;2018-02-21;0.000003;0.000544;0.000511;0.000398
17;2018-02-28;0.000148;0.000492;0.000452;0.000409
18;2018-03-07;0.000046;0.000469;0.000404;0.000601
19;2018-03-14;0.000295;0.000453;0.000384;0.000555
20;2018-03-21;0.000017;0.000465;0.000368;0.000228
21;2018-03-28;0.000095;0.000466;0.000402;0.000545
22;2018-04-05;0.000043;0.000455;0.000374;0.000216
23;2018-04-12;0.000294;0.000435;0.000373;0.000246
24;2018-04-19;0.000695;0.000433;0.000383;0.000467
25;2018-04-26;0.000098;0.000460;0.000412;0.000318
26;2018-05-03;0.000043;0.000436;0.000374;0.000231
27;2018-05-10;0.000001;0.000418;0.000318;0.000191
28;2018-05-17;0.000006;0.000415;0.000327;0.000129
29;2018-05-24;0.000007;0.000448;0.000426;0.000283
30;2018-05-31;0.000014;0.000436;0.000425;0.000199
31;2018-06-07;0.000238;0.000410;0.000386;0.000228
32;2018-06-14;0.000364;0.000420;0.000377;0.000198
33;2018-06-21;0.000083;0.000463;0.000385;0.000192
34;2018-06-28;0.000038;0.000415;0.000337;0.000163
35;2018-07-05;0.000025;0.000408;0.000294;0.000111
36;2018-07-12;0.000234;0.000409;0.000258;0.000089
37;2018-07-19;0.000009;0.000395;0.000251;0.000082
38;2018-07-26;0.000052;0.000390;0.000303;0.000257
39;2018-08-02;0.000198;0.000384;0.000399;0.000198
40;2018-08-09;0.000011;0.000399;0.000385;0.000202
41;2018-08-16;0.000151;0.000370;0.000316;0.000242
42;2018-08-23;0.000186;0.000372;0.000337;0.000311
43;2018-08-30;0.000169;0.000379;0.000357;0.000136
44;2018-09-05;0.000062;0.000340;0.000263;0.000181
45;2018-09-12;0.000051;0.000310;0.000253;0.000171
46;2018-09-19;0.000787;0.000413;0.000303;0.000162
47;2018-09-26;0.002571;0.000403;0.000276;0.000258
48;2018-10-03;0.000544;0.000565;0.000467;0.000474
49;2018-10-10;0.000257;0.000522;0.000381;0.000204
50;2018-10-17;0.001293;0.000524;0.000444;0.000243
51;2018-10-24;0.000080;0.000590;0.000502;0.000527
52;2018-10-31;0.000067;0.000434;0.000323;0.000265
53;2018-11-07;0.000020;0.000600;0.000439;0.000643
54;2018-11-14;0.036803;0.005362;0.005190;0.001051
55;2018-11-21;0.002286;0.001233;0.001264;0.003588
56;2018-11-28;0.002235;0.005533;0.005622;0.008153
57;2018-12-05;0.000699;0.001504;0.001478;0.002084
58;2018-12-12;0.000004;0.002463;0.002439;0.002086
59;2018-12-19;0.001252;0.000917;0.000910;0.002922
60;2018-12-26;0.000632;0.000913;0.000905;0.001856
61;2019-01-02;0.000036;0.002255;0.002276;0.003859
62;2019-01-09;0.000091;0.001120;0.001130;0.002951
63;2019-01-16;0.000073;0.001552;0.001571;0.002201
64;2019-01-22;0.000288;0.005689;0.005729;0.006975
65;2019-01-29;0.001107;0.000920;0.000940;0.001852
66;2019-02-05;0.000007;0.000831;0.000843;0.001441
67;2019-02-12;0.000995;0.000735;0.000750;0.001068
68;2019-02-18;0.000364;0.000657;0.000669;0.000658
69;2019-02-25;0.000046;0.000701;0.000710;0.000359
70;2019-03-04;0.000088;0.000343;0.000339;0.000350
71;2019-03-11;0.000018;0.000655;0.000658;0.000366
72;2019-03-18;0.000031;0.000447;0.000458;0.000420
73;2019-03-25;0.000069;0.000315;0.000316;0.000274
74;2019-04-01;0.000097;0.000364;0.000364;0.000266
75;2019-04-08;0.000011;0.000387;0.000383;0.000180
76;2019-04-15;0.000037;0.000554;0.000545;0.000188
77;2019-04-23;0.000000;0.000495;0.000501;0.000160
78;2019-04-30;0.000242;0.000323;0.000333;0.000234
79;2019-05-07;0.000783;0.000301;0.000331;0.000212
80;2019-05-14;0.000427;0.000366;0.000396;0.000307
81;2019-05-21;0.000995;0.000474;0.000493;0.000273
82;2019-05-27;0.000000;0.000338;0.000352;0.000507
83;2019-06-03;0.000044;0.000521;0.000551;0.000710
84;2019-06-10;0.000329;0.000345;0.000340;0.000212
85;2019-06-17;0.000701;0.000331;0.000338;0.000413
86;2019-06-24;0.000001;0.001388;0.001383;0.000463
87;2019-07-01;0.000126;0.000505;0.000510;0.000347
88;2019-07-08;0.000178;0.000375;0.000359;0.000374
89;2019-07-15;0.001833;0.000531;0.000520;0.000688
90;2019-07-22;0.000062;0.000674;0.000660;0.000307
91;2019-07-29;0.000424;0.000455;0.000448;0.000355
92;2019-08-05;0.000380;0.000592;0.000599;0.000495
93;2019-08-12;0.000386;0.000420;0.000425;0.000355
94;2019-08-19;0.000007;0.000389;0.000395;0.000372
95;2019-08-26;0.000343;0.000845;0.000857;0.000254
96;2019-09-01;0.000260;0.000537;0.000537;0.000696
97;2019-09-06;0.000818;0.000574;0.000551;0.000356
98;2019-09-13;0.000717;0.000489;0.000446;0.000499
99;2019-09-20;0.000000;0.000383;0.000346;0.000568
100;2019-09-27;0.000579;0.001320;0.001324;0.000353
101;2019-10-04;0.000091;0.000367;0.000357;0.000542
102;2019-10-11;0.000274;0.000431;0.000434;0.000521
103;2019-10-18;0.000940;0.000308;0.000319;0.000621
104;2019-10-25;0.001467;0.000294;0.000339;0.000756
105;2019-11-01;0.001135;0.000548;0.000577;0.000594
106;2019-11-08;0.002682;0.000338;0.000348;0.001004
107;2019-11-15;0.001991;0.000399;0.000432;0.000364
