;Date;Actual;HAR;HAR_X;RF
0;2017-12-18;0.000001;0.000066;0.000058;0.000046
1;2017-12-26;0.000005;0.000058;0.000047;0.000048
2;2018-01-03;0.000006;0.000064;0.000058;0.000090
3;2018-01-10;0.000006;0.000056;0.000048;0.000115
4;2018-01-17;0.000081;0.000058;0.000049;0.000070
5;2018-01-24;0.000024;0.000046;0.000040;0.000059
6;2018-01-31;0.000012;0.000063;0.000055;0.000045
7;2018-02-07;0.000011;0.000053;0.000048;0.000046
8;2018-02-14;0.000004;0.000034;0.000026;0.000055
9;2018-02-21;0.000000;0.000076;0.000072;0.000072
10;2018-02-28;0.000094;0.000066;0.000062;0.000070
11;2018-03-07;0.000020;0.000080;0.000077;0.000135
12;2018-03-14;0.000035;0.000066;0.000068;0.000069
13;2018-03-21;0.000020;0.000055;0.000055;0.000064
14;2018-03-28;0.000004;0.000069;0.000063;0.000027
15;2018-04-05;0.000033;0.000068;0.000055;0.000038
16;2018-04-12;0.000020;0.000056;0.000042;0.000049
17;2018-04-19;0.000061;0.000064;0.000050;0.000078
18;2018-04-26;0.000045;0.000071;0.000063;0.000056
19;2018-05-03;0.000002;0.000061;0.000052;0.000038
20;2018-05-10;0.000001;0.000052;0.000037;0.000063
21;2018-05-17;0.000002;0.000076;0.000066;0.000087
22;2018-05-24;0.000000;0.000047;0.000035;0.000056
23;2018-05-31;0.000018;0.000055;0.000037;0.000105
24;2018-06-07;0.000000;0.000055;0.000042;0.000068
25;2018-06-14;0.000536;0.000045;0.000036;0.000051
26;2018-06-21;0.000000;0.000074;0.000059;0.000061
27;2018-06-28;0.000008;0.000056;0.000040;0.000039
28;2018-07-05;0.000006;0.000064;0.000045;0.000035
29;2018-07-12;0.000019;0.000060;0.000046;0.000032
30;2018-07-19;0.000033;0.000054;0.000048;0.000091
31;2018-07-26;0.000005;0.000051;0.000052;0.000076
32;2018-08-02;0.000006;0.000045;0.000038;0.000126
33;2018-08-09;0.000001;0.000047;0.000034;0.000114
34;2018-08-16;0.000000;0.000068;0.000052;0.000025
35;2018-08-23;0.000255;0.000051;0.000023;0.000038
36;2018-08-30;0.000002;0.000064;0.000030;0.000059
37;2018-09-06;0.000011;0.000054;0.000025;0.000074
38;2018-09-13;0.000030;0.000052;0.000032;0.000043
39;2018-09-20;0.000069;0.000048;0.000033;0.000072
40;2018-09-27;0.000050;0.000042;0.000025;0.000083
41;2018-10-04;0.000011;0.000055;0.000037;0.000051
42;2018-10-11;0.000021;0.000006;-0.000010;0.000041
43;2018-10-18;0.000001;0.000064;0.000048;0.000066
44;2018-10-25;0.000006;0.000067;0.000050;0.000059
45;2018-11-01;0.000018;0.000041;0.000020;0.000100
46;2018-11-08;0.000184;0.000064;0.000048;0.000050
47;2018-11-15;0.000043;0.000061;0.000058;0.000063
48;2018-11-22;0.000000;0.000054;0.000049;0.000066
49;2018-11-29;0.000012;0.000056;0.000050;0.000036
50;2018-12-06;0.000047;0.000054;0.000050;0.000034
51;2018-12-13;0.000022;0.000046;0.000035;0.000097
52;2018-12-20;0.000055;0.000042;0.000035;0.000032
53;2018-12-28;0.000002;0.000054;0.000037;0.000043
54;2019-01-07;0.000010;0.000049;0.000040;0.000054
55;2019-01-14;0.000005;0.000046;0.000034;0.000041
56;2019-01-21;0.000000;0.000048;0.000037;0.000062
57;2019-01-28;0.000020;0.000047;0.000040;0.000038
58;2019-02-04;0.000000;0.000049;0.000043;0.000042
59;2019-02-11;0.000003;0.000045;0.000037;0.000057
60;2019-02-18;0.000009;0.000024;0.000014;0.000045
61;2019-02-25;0.000001;0.000053;0.000039;0.000036
62;2019-03-04;0.000005;0.000048;0.000039;0.000026
63;2019-03-11;0.000029;0.000055;0.000045;0.000043
64;2019-03-18;0.000015;0.000058;0.000049;0.000048
65;2019-03-25;0.000033;0.000049;0.000036;0.000069
66;2019-04-01;0.000001;0.000052;0.000038;0.000048
67;2019-04-08;0.000023;0.000052;0.000047;0.000057
68;2019-04-15;0.000125;0.000047;0.000042;0.000044
69;2019-04-23;0.000022;0.000050;0.000038;0.000068
70;2019-04-30;0.000001;0.000048;0.000035;0.000049
71;2019-05-07;0.000011;0.000049;0.000043;0.000036
72;2019-05-14;0.000001;0.000046;0.000043;0.000028
73;2019-05-21;0.000001;0.000047;0.000046;0.000051
74;2019-05-28;0.000009;0.000048;0.000046;0.000021
75;2019-06-04;0.000014;0.000047;0.000047;0.000044
76;2019-06-11;0.000018;0.000048;0.000047;0.000068
77;2019-06-18;0.000002;0.000048;0.000046;0.000036
78;2019-06-25;0.000009;0.000035;0.000029;0.000052
79;2019-07-02;0.000083;0.000046;0.000044;0.000030
80;2019-07-09;0.000073;0.000061;0.000058;0.000063
81;2019-07-16;0.000073;0.000061;0.000057;0.000072
82;2019-07-23;0.000002;0.000052;0.000050;0.000046
83;2019-07-30;0.000009;0.000047;0.000046;0.000040
84;2019-08-06;0.000531;0.000043;0.000045;0.000040
85;2019-08-13;0.000088;0.000046;0.000042;0.000040
86;2019-08-20;0.000000;0.000051;0.000047;0.000064
87;2019-08-27;0.000003;0.000045;0.000042;0.000030
88;2019-09-03;0.000008;0.000050;0.000051;0.000084
89;2019-09-10;0.000007;0.000046;0.000043;0.000015
90;2019-09-17;0.000002;0.000057;0.000050;0.000053
91;2019-09-24;0.000328;0.000053;0.000047;0.000064
92;2019-10-01;0.000160;0.000047;0.000041;0.000042
93;2019-10-08;0.000034;0.000057;0.000053;0.000041
94;2019-10-15;0.000050;0.000053;0.000052;0.000024
95;2019-10-22;0.000030;0.000061;0.000059;0.000079
96;2019-10-29;0.000039;0.000053;0.000052;0.000055
97;2019-11-05;0.000040;0.000027;0.000026;0.000026
98;2019-11-12;0.000043;0.000048;0.000046;0.000032
99;2019-11-19;0.000000;0.000051;0.000051;0.000045
100;2019-11-26;0.000003;0.000052;0.000050;0.000024
101;2019-12-03;0.000008;0.000043;0.000043;0.000042
102;2019-12-10;0.000021;0.000046;0.000045;0.000046
103;2019-12-17;0.000002;0.000046;0.000045;0.000054
104;2019-12-24;0.000045;0.000039;0.000038;0.000056
105;2020-01-02;0.000249;0.000045;0.000044;0.000033
106;2020-01-09;0.000014;0.000042;0.000042;0.000032
107;2020-01-16;0.000040;0.000047;0.000046;0.000056
108;2020-01-23;0.000017;0.000047;0.000046;0.000048
109;2020-01-30;0.000001;0.000042;0.000041;0.000053
110;2020-02-06;0.000005;0.000043;0.000044;0.000042
111;2020-02-13;0.000023;0.000045;0.000045;0.000059
112;2020-02-20;0.000288;0.000044;0.000044;0.000068
113;2020-02-27;0.002232;0.000045;0.000044;0.000040
114;2020-03-05;0.000007;0.000327;0.000328;0.000059
115;2020-03-12;0.002245;0.000194;0.000196;0.000379
116;2020-03-19;0.000013;0.000572;0.000575;0.000443
117;2020-03-26;0.000256;0.000862;0.000863;0.000438
118;2020-04-02;0.000018;0.001088;0.001084;0.000310
119;2020-04-09;0.000032;0.001079;0.001080;0.000439
120;2020-04-17;0.000055;0.000497;0.000503;0.000633
121;2020-04-24;0.000046;0.000202;0.000210;0.000863
122;2020-05-01;0.000053;0.000160;0.000166;0.000673
123;2020-05-08;0.000087;0.000139;0.000144;0.000245
124;2020-05-15;0.000157;0.000108;0.000113;0.000110
125;2020-05-22;0.000302;0.000081;0.000084;0.000120
126;2020-05-29;0.000000;0.000116;0.000121;0.000107
127;2020-06-05;0.000161;0.000231;0.000237;0.000227
128;2020-06-12;0.000035;0.000094;0.000098;0.000141
129;2020-06-19;0.000042;0.000117;0.000121;0.000129
130;2020-06-26;0.000020;0.000080;0.000083;0.000074
131;2020-07-03;0.000000;0.000068;0.000068;0.000099
132;2020-07-10;0.000046;0.000045;0.000047;0.000034
133;2020-07-17;0.000017;0.000049;0.000051;0.000035
134;2020-07-24;0.000306;0.000052;0.000055;0.000075
135;2020-07-31;0.000001;0.000072;0.000076;0.000060
136;2020-08-07;0.000041;0.000155;0.000162;0.000136
137;2020-08-14;0.000606;0.000169;0.000185;0.000304
138;2020-08-21;0.000015;0.000168;0.000176;0.000237
139;2020-08-28;0.000004;0.000260;0.000270;0.000179
140;2020-09-04;0.000077;0.000162;0.000170;0.000118
141;2020-09-11;0.000061;0.000108;0.000114;0.000126
142;2020-09-18;0.000703;0.000075;0.000084;0.000090
143;2020-09-25;0.000065;0.000103;0.000114;0.000231
144;2020-10-02;0.000041;0.000080;0.000077;0.000062
145;2020-10-09;0.000002;0.000125;0.000123;0.000078
146;2020-10-16;0.000008;0.000089;0.000084;0.000090
147;2020-10-23;0.000000;0.000061;0.000054;0.000039
148;2020-10-30;0.000045;0.000070;0.000060;0.000040
149;2020-11-06;0.002615;0.000085;0.000070;0.000096
150;2020-11-13;0.000001;0.000175;0.000188;0.000231
151;2020-11-20;0.000348;0.000142;0.000146;0.000132
152;2020-11-27;0.000015;0.000153;0.000156;0.000100
153;2020-12-04;0.000194;0.000156;0.000158;0.000127
154;2020-12-11;0.000040;0.000088;0.000088;0.000064
155;2020-12-18;0.000011;0.000094;0.000093;0.000132
156;2020-12-28;0.000002;0.000073;0.000073;0.000066
157;2021-01-05;0.000562;0.000087;0.000088;0.000082
158;2021-01-12;0.000033;0.000159;0.000168;0.000248
159;2021-01-19;0.000201;0.000123;0.000128;0.000100
160;2021-01-26;0.000011;0.000120;0.000123;0.000067
161;2021-02-02;0.000001;0.000154;0.000156;0.000053
162;2021-02-09;0.000009;0.000085;0.000089;0.000449
163;2021-02-16;0.000214;0.000075;0.000083;0.000263
164;2021-02-23;0.000021;0.000085;0.000089;0.000190
